OpID,OpName,PVop,ProcessDesc,PSInto,PSIntoOther,PSOut,PSOutOther,PSIn,PSInOther,NoPrev,OpType,IoE,OpNumWorkers,NumWorkersExpDaysPerYear,MassBalDisc1,MassBalDisc2,Basis,GSS_XmoProd,GSS_Yprod,GSS_NS,WaterRelBasis,InhExpBasis,AddNotesRelSummary,AddNotesExpSummary,DerExpBasis,OpOrder,NWdefault,NWestimated,NWbasis,NWbasisEnabled,GSS_PDF,ScenarioID
3,"Use: UVEB Curable Coatings, Inks, and Adhesives - Application (non-volatile liquid)",1.00000000e+06,"Radiation curable coating, ink, or adhesive (liquid, 70% PMN) is unloaded from transport containers --> Dilute and Mix (optional) --> Product is transferred to the application reservoir --> Product is applied to substrate via Roll, Spray, Curtain, or Vacuum coating --> UV/EB Curing --> Cured product incorporated on Substrate/Article (per ESD).",,,,,,,-1,1,0,0,0,5,0,"The October 2011 Emission Scenario Document (ESD) on the Application of Radiation Curable Coatings, Inks, and Adhesives via Spray, Vacuum, Roll and Curtain Coating, provides default values of 250 operating days/year; 548 kg coating/site-batch; and 70% PMN in coating, ink, or adhesive (default for unknown type of product - see ESD for additional details). // Note to user: if you encounter a Mass Balance Discrepancy for the number of sites, uncheck the ""Daily Mass Input of Raw Material Containing Chemical"" and check the ""Number of Sites"" option. Press the ""calculate remaining two parameters"" button to recalculate the daily use rate.",,,,"IRER Note: The daily releases listed for any source below may coincide with daily releases from the other sources to the same medium. Per the ESD for the Application of Radiation Curable Coatings, Inks, and Adhesives, raw material sampling wastes are expected to be released to water, incineration, or landfill; due to the lack of industry-specific data, this release is not estimated. It should be noted that EPA expects releases of the chemical from raw material sampling activities to be relatively low in comparison to the other sources of release in the application process.","Per the ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives, inhalation exposures are not expected during normal operating conditions for non-volatile chemicals (VP <0.001 torr), but are expected from the spray application of the radiation curable product (see ESD for additional details).",,,"Note that the ESD specifies dermal exposures from the following activities: (1) Unloading Radiation Curable Formulation; (2) Raw Material Sampling; (3) Cleaning Empty Radiation Curable Component Containers; (4) Application of Radiation Curable Product; and (5) Equipment Cleaning. Dermal exposure estimates are the same for activities #1, 3, and 5 (EPA/OPPT 2-Hand Dermal Contact with Liquid Model). The EPA/OPPT 1-Hand Dermal Contact with Liquid Model is suggested for use to estimate dermal exposure from sampling (2); this scenario does not present this exposure as the EPA/OPPT 2-Hand Dermal Contact with Liquid Model is more conservative and would encompass dermal exposure from this activity. Dermal exposure estimates for the application method (activity #4) are estimated using the EPA/OPPT 2-Hand Dermal Immersion in Liquid Model. This scenario presents two release scenarios for all workers. ",0,418,418,"The ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives conservatively estimates exposure for up to 19 workers/site (overall average) for unknown coatings, inks, and adhesives. It can be conservatively estimated that all workers are exposed during each activity.             ",0.0,\Help\Application_of_RadCur_Coatings_2011.pdf,83
3,"Use: UVEB Curable Coatings, Inks, and Adhesives - Application (volatile liquid)",1.00000000e+06,"Radiation curable coating, ink, or adhesive (liquid, 70% PMN) is unloaded from transport containers --> Dilute and Mix (optional) --> Product is transferred to the application reservoir --> Product is applied to substrate via Roll, Spray, Curtain, or Vacuum coating --> UV/EB Curing --> Cured product incorporated on Substrate/Article (per ESD).",,,,,,,-1,1,0,0,0,5,0,"The October 2011 Emission Scenario Document (ESD) on the Application of Radiation Curable Coatings, Inks, and Adhesives via Spray, Vacuum, Roll and Curtain Coating, provides default values of 250 operating days/year; 548 kg coating/site-batch; and 70% PMN in coating, ink, or adhesive (default for unknown type of product - see ESD for additional details). // Note to user: if you encounter a Mass Balance Discrepancy for the number of sites, uncheck the ""Daily Mass Input of Raw Material Containing Chemical"" and check the ""Number of Sites"" option. Press the ""calculate remaining two parameters"" button to recalculate the daily use rate.",,,,"IRER Note: The daily releases listed for any source below may coincide with daily releases from the other sources to the same medium. Per the ESD for the Application of Radiation Curable Coatings, Inks, and Adhesives, raw material sampling wastes are expected to be released to water, incineration, or landfill; due to the lack of industry-specific data, this release is not estimated. It should be noted that EPA expects releases of the chemical from raw material sampling activities to be relatively low in comparison to the other sources of release in the application process. In addition to the process losses assessed below, volatile components also evaporate during the application process. Solvents and other volatile components that do not react will completely volatilize by the time that the coating, ink, or adhesive cures. EPA has not currently developed a standard approach or attempted to assess releases of volatile components during spray, vacuum, roll, or curtain coating applications. ","Note that the ESD specifies inhalation exposures for all workers from the following activities: (1) Unloading Radiation Curable Formulation; (2) Raw Material Sampling; (3) Cleaning Empty Radiation Curable Component Containers; (4) Application of Radiation Curable Product; and (5) Equipment Cleaning. Inhalation exposure for all activities other than (4) are estimated using teh EPA/OPPT Mass Balance Model. Inhalation exposure for activity (4) is estimated based on the application method chosen; the default method is Spray Coating and therefore the EPA/OPPT Automobile OEM Spray Coating Inhalation Model can be used to estimate exposure. Therefore, this scenario presents two inhalation exposure estimates for all workers. // Note: Inhalation exposures to chemical vapors during the application process presents a data gap; the PMN is a volatile liquid where the airborne concentration of the chemical of interest is unknown (see ESD for additional details). ",,,"Note that the ESD specifies dermal exposures from the following activities: (1) Unloading Radiation Curable Formulation; (2) Raw Material Sampling; (3) Cleaning Empty Radiation Curable Component Containers; (4) Application of Radiation Curable Product; and (5) Equipment Cleaning. Dermal exposure estimates are the same for activities #1, 3, and 5 (EPA/OPPT 2-Hand Dermal Contact with Liquid Model). The EPA/OPPT 1-Hand Dermal Contact with Liquid Model is suggested for use to estimate dermal exposure from sampling (2); this scenario does not present this exposure as the EPA/OPPT 2-Hand Dermal Contact with Liquid Model is more conservative and would encompass dermal exposure from this activity. Dermal exposure estimates for the application method (activity #4) are estimated using the EPA/OPPT 2-Hand Dermal Immersion in Liquid Model. This scenario presents two release scenarios for all workers.",0,418,418,"The ESD on the Application of Radiation Curable Coatings, Inks, and Adhesives conservatively estimates exposure for up to 19 workers (overall average) for unknown coatings, inks, and adhesives. It can be conservatively estimated that all workers are exposured during each activity.          ",0.0,\Help\Application_of_RadCur_Coatings_2011.pdf,84
100,Use: Automobile OEM Spray Coating (non-volatile liquid),0.00000000e+00,Unload coating product containing the assessed chemical from shipping container -> Mix and/or store (optional) -> Transfer to spray gun feed system -> Apply coating to automobile surfaces (some sprayed coating does not remain on the surfaces - it passes into the booth ventilation system and is either captured in exhaust controls or is exhausted into the air through the stack) -> Bake/cure coating at high temperatures (assessed chemical is destroyed or fixed to the coated surface),,,,,,,0,0,1,0,0,0,0,,,,,IRER Note: The daily releases listed for any source below may coincide with daily releases from the other sources to the same medium. ,,,,,1,0,0,  ,0.0,\Help\AutoSprayScen.pdf,41
103,Use: Recirculating Water-Cooling Tower Additive (non-volatile),0.00000000e+00,"Unload water cooling-tower additive containing the assessed chemical from shipping container -> Store (optional) -> Mix into the cooling tower recirculating water to maintain a specific concentration (losses to blowdown and windage, and if the additive is volatile, to evaporation).",,,,,,,0,0,1,0,0,0,0,,,,,,,,,,3,0,0,  ,0.0,\Help\coolingtower.pdf,43
104,Use: Electroplating Bath Additive (non-volatile),0.00000000e+00,Pre-treatment cleaning steps (not assessed by this operation) -> Transfer of additive containing the chemical from shipping container into dip tank (you must manually add or adjust unloading and cleaning activities based on the loading activity in the previous operation) -> Electroplate surfaces of parts-> Plated parts immersed in rinse tanks and spray rinsed -> Bake/cure plated coating (chemical is either destroyed or fixed to the coated surface),,,,,,,0,0,1,0,0,0,0,,,,,,,,,,4,0,0,  ,0.0,\Help\electroplating.pdf,44
2,Processing: Fragrance Oil Blending into Commercial and Consumer Products (volatile liquid),1.00000000e+04,"Fragrance Oil (liquid, 20% - default if unknown) --> Unloading from Transport or Storage Containers --> Mixing (Closed Vessel) --> Packaging --> Final Commercial or Consumer Product (liquid or solid, 0.4% - default if unknown) (per ESD).",,,,,,,-1,1,0,0,0,23,0,"The September 2010 Emission Scenario Document (ESD) on the Blending of Fragrance Oils into Commercial and Consumer Products provides default values of 250 operating days/yr; 20% aroma chemical in the fragrance oil; 2% fragrance oil in the final commercial and consumer product (i.e. 0.4% aroma chemical in the final product), and 82 kg fragrance oil/site-day (see ESD for additional details). // Note to user: if you encounter a Mass Balance Discrepancy for the number of sites, uncheck the ""Daily Mass Input of Raw Material Containing Chemical"" and check the ""Number of Sites"" option. Press the ""calculate remaining two parameters"" button to recalculate the daily use rate.",,,,"IRER Note: The daily releases listed for any source below may coincide with daily releases from the other sources to the same medium. Per the ESD on the Blending of Fragrance Oils into Commercial and Consumer Products, product sampling wastes are expected to be released to water, incineration, or landfill; due to the lack of industry-specific data, this release is not estimated. It should be noted that EPA expects releases of the chemical from product sampling activities to be relatively low in comparison to the other sources of release in the formulation process.","Note that the ESD specifies inhalation exposure from the following activities: (1) Unloading Transport Containers; (2) Transport Container Cleaning; (3) Product Sampling; (4) Equipment Cleaning; and (5) Product Loading. Since the exposure estimates are the same for all liquid and solid activities (EPA/OPPT Mass Balance Model; OSHA Total PNOR PEL Limiting model, > 54 kg/day, or EPA/OPPT Small Volume Solids Handling Inhalation Model, < 54 kg/day), two exposure scenarios are presented for all workers. ",,,"Note that the ESD specifies dermal exposure from the following activities: (1) Unloading Transport Containers; (2) Transport Container Cleaning; (3) Product Sampling; (4) Equipment Cleaning; (5) Product Loading. Since the exposure estimates are the same for all liquid and solid activities (EPA/OPPT Direct 2-Hand Contact with Liquid Model and EPA/OPPT Direct 2-Hand Dermal Contact with Solids Model, respectively), two exposure scenarios are presented for all workers. ",0,174,174,The ESD on the Blending of Fragrance Oils into Commercial and Consumer Products conservatively estimates exposure for up to 29 workers per site while performing formulation process activities; it can be conservatively estimated that all workers are exposure during each activity.     ,0.0,\Help\Fragrance_Oils_2010.pdf,85
2,Use: Oil Well Production Additive (non-volatile liquid),1.60000000e+04,"Oil well additive unloaded from containers into storage tank (liquid, 55% - default for unknown additive) --> Additive injected into oil well (non-emulsion breakers only) --> Fluid is extracted from the well --> Solids and water are removed -> Oil/water emulsion breaking --> Oil is transferred to refineries (per ESD). ",,,,,,,-1,1,1,0,0,0,0,"The June 2013 Emission Scenario Document (ESD) on Chemicals Used in Oil Well Production provides default values of 350 operating days/yr; 55% PMN in raw material; well injection concentration of 0.0205%; and 1,460 kg oil well injection additive/site-day for an unknown chemical additive (unknown function, oil- or water-soluble not specified), where both occupational exposures or environmental releases are a concern (see ESD for additional details). // Note to user: if you encounter a Mass Balance Discrepancy for the number of sites, uncheck the ""Daily Mass Input of Raw Material Containing Chemical"" and check the ""Number of Sites"" option. Press the ""calculate remaining two parameters"" button to recalculate the daily use rate. ",,,,IRER Note: The daily releases listed for any source below may coincide with daily releases from the other sources to the same medium. ,"Per the ESD on Chemicals Used in Oil Well Production, inhalation exposures are not expected from non-volatile (VP < 0.001 torr) oil well chemicals. Additionally, no recent PMN submissions involved an oil well chemical provided to the production site in solid form. Therefore, estimation approaches for assessing dermal and inhalation exposures to solids were not provided in the ESD. ",,,"Note that the ESD specifies dermal exposures from the following activities: (1) Unloading Transport Containers; (2) Transport Container Cleaning; and (3) Equipment or Storage Tank Cleaning. Since the recommended exposure model is the same for all of the activities (EPA/OPPT 2-Hand Dermal Contact with Liquid Model), this scenario presents one exposure for all workers. ",0,1224,1224,"The ESD on Chemicals Used in Oil Well Production estimates exposure for 8 workers per site. EPA assumes a single well exists at each site. This IRER conservatively estimates that all 8 workers are exposed to the PMN at the highest potential concentration (during unloading), up to 250 exposure days per worker.  
      ",1.0,\Help\OilWellProduction_2013.pdf,86
3,Use: Laundries - Water Based Washing Operations (non-volatile liquid),1.00000000e+05,"Liquid Laundry Cleaning Products Received in Pails, Drums, Totes, or Tank Trucks (100% PMN) --> Automatic or Manual Loading of Chemicals --> Washing Machine (25-95 minutes) --> Drying and Steaming --> Hanging and Folding --> Laundry Returned to Customers (per ESD)",,,,,,,-1,1,0,0,0,0,0,"The July 2011 Emission Scenario Document (ESD) on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries provides default values of 260 operating days/year; 100% chemical of interest in laundry product; and 26.2 kg liquid detergent formulation/site-day (see ESD for additional details). // Note to user: if you encounter a Mass Balance Discrepancy for the number of sites, uncheck the ""Daily Mass Input of Raw Material Containing Chemical"" and check the ""Number of Sites"" option. Press the ""calculate remaining parameters button to recalculate the daily use rate.",,,,"IRER Note: The daily releases listed for any source below may coincide with daily releases from the other sources to the same medium. Per the ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries, empty drums used at industrial laundries (default) are typically returned directly to the wash chemical supplier or sent to a drum recycler/reconditioner where they are triple-rinsed before reuse. Similarly bulk totes or tank trucks would be rinsed at the wash chemical supplier's site or a separate cleaning facility. However, pails, cardboard boxes, and other smaller containers that may be used for laundry products received in smaller quantities may be discarded without rinsing to municipal solid waste (potential disposal to incineration or landfill). EPA recommends assessing container residue releases from chemicals used at industrial laundries at the laundry cleaning product formulation facility; therefore, this release is not presented below. ","Note the ESD indicates that inhalation exposure to liquids is assumed negligible for nonvolatile liquids (e.g., the vapor pressure is < 0.001 torr).",,,"Note the ESD specifies dermal exposure from the following activities: (1) Unloading Liquid Laundry Cleaning Product; (2) Cleaning Liquid Laundry Cleaning Product Containers; and (3) Exposure from Handling Damp Laundry and Other Operational Exposures. Since the exposure estimates are the same for all of the activities (EPA/OPPT 2-Hand Dermal Contact with Liquid Model), this scenario presents one exposure for all workers. /// Note: For industrial operations, container cleaning is not expected to occur at the laundry facility.",0,135,135,"The ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries conservatively estimates exposure for up to 9 workers per site if the type of laundry is unknown; it can be conservatively estimated that all workers are exposed during each activity, up to a maximum of 250 days per worker.   ",1.0,\Help\Laundries_2011.pdf,87
3,Use: Laundries - Water Based Washing Operations (solid particulate),1.00000000e+05,"Solid Laundry Cleaning Products Received in Pails, Drums, Totes, or Tank Trucks (100% PMN) --> Manual Loading of Chemicals --> Washing Machine (25-95 minutes) --> Drying and Steaming --> Hanging and Folding --> Laundry Returned to Customers (per ESD)",,,,,,,-1,1,0,0,0,8,0,"The July 2011 Emission Scenario Document (ESD) on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries provides default values of 260 operating days/year; 100% chemical of interest in laundry product; and 103.8 kg solid detergent formulation/site-day (see ESD for additional details). // Note to user: if you encounter a Mass Balance Discrepancy for the number of sites, uncheck the ""Daily Mass Input of Raw Material Containing Chemical"" and check the ""Number of Sites"" option. Press the ""calculate remaining parameters button to recalculate the daily use rate.",,,,"IRER Note: The daily releases listed for any source below may coincide with daily releases from the other sources to the same medium. Per the ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries, empty drums used at industrial laundries (default) are typically returned directly to the wash chemical supplier or sent to a drum recycler/reconditioner where they are triple-rinsed before reuse. Similarly bulk totes or tank trucks would be rinsed at the wash chemical supplier's site or a separate cleaning facility. However, pails, cardboard boxes, and other smaller containers that may be used for laundry products received in smaller quantities may be discarded without rinsing to municipal solid waste (potential disposal to incineration or landfill). EPA recommends assessing container residue releases from chemicals used at industrial laundries at the laundry cleaning product formulation facility; therefore, this release is not presented below. ","Note the ESD specifies inhalation exposure from the following activities: (1) Unloading Solid Laundry Cleaning Product and (2) Cleaning Solid Laundry Cleaning Product Containers. Inhalation exposure from both activities can be estimated based on the daily amount of product handled: for amounts greater than 54 kg/day, OSHA PNOR PEL-Limiting Model; for amounts less than or equal to 54 kg/day, EPA/OPPT Small Volume Solids Handling Model. // Note: For industrial operations, container cleaning is not expected to occur at the laundry facility. ",,,"Note the ESD specifies dermal exposure from the following activities: (1) Unloading Solid Laundry Cleaning Product; (2) Cleaning Solid Laundry Cleaning Product Containers; and (3) Exposure from Handling Damp Laundry and Other Operational Exposures. Dermal exposure for activities (1) and (2) are estimated using the EPA/OPPT 2-Hand Dermal Contact with Solid Model and activity (3) exposures are estimated using the EPA/OPPT 2-Hand Dermal Contact with Liquid Model ; therefore, this scenario presents two release assessments for all workers. // Note: For industrial operations, container cleaning is not expected to occur at the laundry facility.",0,72,36,"The ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries conservatively estimates exposure for up to 9 workers per site if the type of laundry is unknown; it can be conservatively estimated that all workers are exposed during each activity, up to a maximum of 250 days per worker.             ",1.0,\Help\Laundries_2011.pdf,88
3,Use: Laundries - Water Based Washing Operations (volatile liquid),1.00000000e+05,"Liquid Laundry Cleaning Products Received in Pails, Drums, Totes, or Tank Trucks (100% PMN) --> Automatic or Manual Loading of Chemicals --> Washing Machine (25-95 minutes) --> Drying and Steaming --> Hanging and Folding --> Laundry Returned to Customers (per ESD)",,,,,,,-1,1,0,0,0,0,0,"The July 2011 Emission Scenario Document (ESD) on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries provides default values of 260 operating days/year; 100% chemical of interest in laundry product; and 26.2 kg liquid detergent formulation/site-day (see ESD for additional details). // Note to user: if you encounter a Mass Balance Discrepancy for the number of sites, uncheck the ""Daily Mass Input of Raw Material Containing Chemical"" and check the ""Number of Sites"" option. Press the ""calculate remaining parameters button to recalculate the daily use rate.",,,,"IRER Note: The daily releases listed for any source below may coincide with daily releases from the other sources to the same medium. Per the ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries, empty drums used at industrial laundries (default) are typically returned directly to the wash chemical supplier or sent to a drum recycler/reconditioner where they are triple-rinsed before reuse. Similarly bulk totes or tank trucks would be rinsed at the wash chemical supplier's site or a separate cleaning facility. However, pails, cardboard boxes, and other smaller containers that may be used for laundry products received in smaller quantities may be discarded without rinsing to municipal solid waste (potential disposal to incineration or landfill). EPA recommends assessing container residue releases from chemicals used at industrial laundries at the laundry cleaning product formulation facility; therefore, this release is not presented below. Additionally, open surface losses to air would be negligible as containers are not expected to be rinsed on-site. ","Note the ESD specifies inhalation exposure from the following activities: (1) Unloading Liquid Laundry Cleaning Product; (2) Cleaning Liquid Laundry Cleaning Product Containers; and (3) Exposure from Handling Damp Laundry and Other Operational Exposures. Since the exposure estimates are the same for all of the activities (EPA/OPPT Mass Balance Model), this scenario presents one exposure for all workers. // Note: For industrial operations, container cleaning is not expected to occur at the laundry facility.",,,"Note the ESD specifies dermal exposure from the following activities: (1) Unloading Liquid Laundry Cleaning Product; (2) Cleaning Liquid Laundry Cleaning Product Containers; and (3) Exposure from Handling Damp Laundry and Other Operational Exposures. Since the exposure estimates are the same for all of the activities (EPA/OPPT 2-Hand Dermal Contact with Liquid Model), this scenario presents one exposure for all workers. /// Note: For industrial operations, container cleaning is not expected to occur at the laundry facility.",0,135,135,The ESD on Chemicals Used in Water Based Washing Operations at Industrial and Institutional Laundries conservatively estimates exposure for up to 9 workers per site if the type of laundry is unknown; it can be conservatively estimated that all workers are exposed during each activityup to a maximum of 250 days per worker.           ,1.0,\Help\Laundries_2011.pdf,89
